   Num:    Value          Size Type    Bind   Vis      Ndx Name
  2937: 00000000000717ea    19 OBJECT  WEAK   DEFAULT   11 _ZTSN3mfw10SdpWr[...]
  2946: 00000000000e51c8   412 FUNC    WEAK   DEFAULT   15 _ZN3mfw8printSdp[...]
  2954: 0000000000139cac   904 FUNC    WEAK   DEFAULT   15 _ZNK7sdpxlua12Lu[...]
  2959: 0000000000133d58   124 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua18Lua[...]
  2962: 00000000001334d0   172 FUNC    GLOBAL DEFAULT   15 fpconv_init
  2965: 0000000000101f24    76 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float2
  2966: 0000000000135718  1612 FUNC    WEAK   DEFAULT   15 _ZNK7sdpxlua17Lu[...]
  2969: 0000000000101fb4    84 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float3
  2974: 0000000000102054    92 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float4
  2977: 00000000001020f8   100 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float5
  2982: 00000000001021b0   108 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float6
  3012: 00000000000c5fc0   728 FUNC    WEAK   DEFAULT   15 _ZN3mfw11SdpUnpa[...]
  3027: 00000000000ca814    76 FUNC    GLOBAL DEFAULT   15 _Z11socket_bindiPvj
  3030: 0000000000138ce8   428 FUNC    WEAK   DEFAULT   15 _ZN3muf9SdpPacke[...]
  3041: 0000000000129210   148 FUNC    GLOBAL DEFAULT   15 inet_trydisconnect
  3042: 00000000000e3f04    16 FUNC    GLOBAL DEFAULT   15 _ZN15LuaSdpMapRe[...]
  3079: 0000000000139338   196 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpExce[...]
  3085: 00000000000a7868   532 FUNC    GLOBAL DEFAULT   15 MOBAJNI_Init
  3086: 0000000000072686    21 OBJECT  WEAK   DEFAULT   11 _ZTSN3muf12SdpEx[...]
  3092: 00000000000e33ac   124 FUNC    GLOBAL DEFAULT   15 _ZN12LuaSdpStruc[...]
  3111: 0000000000136020   320 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3114: 0000000000135d90   336 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3119: 0000000000135ee0   320 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3122: 00000000001368c0   320 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3129: 0000000000136780   320 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3131: 000000000012e268     8 FUNC    GLOBAL DEFAULT   15 timeout_getstart
  3134: 000000000012faf0   364 FUNC    GLOBAL DEFAULT   15 socket_sendto
  3135: 0000000000136160   320 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3140: 0000000000136510   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3144: 0000000000136648   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3152: 0000000000136a00   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3156: 0000000000136b38   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3165: 000000000006d9af    21 OBJECT  WEAK   DEFAULT   11 _ZTSN3mfw12SdpEx[...]
  3167: 00000000000e3270   204 FUNC    GLOBAL DEFAULT   15 _ZN11LuaSdpValue[...]
  3170: 0000000000135344   980 FUNC    WEAK   DEFAULT   15 _ZNK7sdpxlua12Lu[...]
  3174: 00000000001cf0e4     4 OBJECT  GLOBAL DEFAULT   23 IKCP_PROBE_INIT
  3178: 00000000001362a0   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3181: 0000000000133ffc  1888 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua15Lua[...]
  3182: 00000000001363d8   312 FUNC    WEAK   DEFAULT   15 _ZN3muf12SdpDisp[...]
  3190: 00000000000e359c   132 FUNC    GLOBAL DEFAULT   15 _ZN18LuaSdpVecto[...]
  3195: 0000000000101e44    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_double
  3202: 0000000000146bc0   100 FUNC    GLOBAL DEFAULT   15 startJNICTraceRoute
  3242: 000000000012881c  1112 FUNC    GLOBAL DEFAULT   15 buffer_meth_receive
